CUSIP,Ticker,Issue Date,Maturity,1st Call Date,Moodys,S_and_P,Fitch,Bloomberg Composite Rating,Coupon,Issued Amount,Maturity Type,Coupon Type,Maturity At Issue months,Industry,LiquidityScore,Months in JNK,Months in HYG,Months in Both,IN_ETF,LIQ SCORE,n_trades,volume_trades,total_median_size,total_mean_size,n_days_trade,days_diff_max,percent_intra_dealer,percent_uncapped,bond_type,Client_Trade_Percentage,weekly_mean_volume,weekly_median_volume,weekly_max_volume,weekly_min_volume,weekly_mean_ntrades,weekly_median_ntrades
000324AA1,FLECIN,7/1/2014,7/1/2019,10/23/2017,Nan,Nan,Nan,Nan,12,405000000,CALLABLE,PAY-IN-KIND,60.87,Real Estate,10.89136538,Nan,Nan,Nan,No,0.108913654,301,264003775,1000000,877088.9535,128,1132,0.006644518,0.292358804,5,0.521594684,3105926.765,2000000,18980000,60000,3.541176471,1
00080QAB1,RBS,3/15/2004,6/4/2018,Nan,Ba1,BB+,BBB,BB+,4.65,499285000,AT MATURITY,FIXED,173.13,Banks,24.625486,0,33,0,Yes,0.24625486,2854,266863000,24000,93504.9054,614,1041,0.425017519,0.974071479,2,0.337070778,1721696.774,1160000,11197000,5000,18.41290323,3
00081TAD0,ACCO,5/14/2010,3/15/2015,Nan,WR,NR,BB+,NR,10.63,460000000,CALLABLE,FIXED,58.87,Household Products/Wares,12.84155687,Nan,Nan,Nan,No,0.128415569,434,281421000,875000,648435.4839,183,439,0.115207373,0.594470046,5,0.467741935,4200313.433,3520000,14000000,24000,6.47761194,1
00081TAH1,ACCO,6/17/2013,4/30/2020,Nan,WR,NR,WD,NR,6.75,500000000,CALLABLE,FIXED,83.63,Household Products/Wares,26.22635501,43,0,0,Yes,0.26226355,4975,1163167000,26000,233802.4121,773,1227,0.426331658,0.892462312,3,0.212864322,6321559.783,5487500,18459000,30000,27.03804348,1
00081TAJ7,ACCO,12/22/2016,12/15/2024,12/15/2019,B1,BB-,BB,BB-,5.25,400000000,CALLABLE,FIXED,97.17,Household Products/Wares,14.13839452,Nan,Nan,Nan,No,0.141383945,388,249342000,750000,642634.0206,126,246,0.157216495,0.690721649,5,0.5,5936714.286,3305500,72760000,90000,9.238095238,1
00101JAE6,ADT,4/29/2013,7/15/2017,Nan,WR,NR,WD,NR,2.25,750000000,AT MATURITY,FIXED,51.27,Commercial Services,27.0768504,0,30,0,Yes,0.270768504,7491,1212695000,28000,161886.931,679,963,0.436523829,0.940995862,2,0.185556001,8306130.137,7385000,39111000,75000,51.30821918,4
00101JAF3,ADT,4/29/2013,7/15/2022,Nan,Ba3,BB-,WD,BB-,3.5,1000000000,AT MATURITY,FIXED,112.13,Commercial Services,32.79015746,48,44,44,Yes,0.327901575,11960,2820268000,50000,235808.3612,1013,1426,0.419899666,0.889632107,1,0.274665552,13178822.43,11458000,64043000,1272000,55.88785047,3
00101JAG1,ADT,4/29/2013,7/15/2042,Nan,Ba3,BB-,WD,BB-,4.88,749000000,AT MATURITY,FIXED,355.63,Commercial Services,23.90636333,33,0,0,Yes,0.239063633,2371,513861000,30000,216727.5411,568,1426,0.437789962,0.894981021,3,0.216364403,2648768.041,1593500,27247000,4000,12.22164948,1
00101JAH9,ADT,5/17/2013,6/15/2023,Nan,Ba3,BB-,WD,BB-,4.13,699700000,AT MATURITY,FIXED,122.7,Commercial Services,33.41889859,3,44,3,Yes,0.334188986,15508,2477967000,25000,159786.3683,1010,1417,0.41191643,0.926554037,1,0.232396183,11579285.05,10027000,50109000,412000,72.46728972,3
00101JAJ5,ADT,10/1/2013,10/15/2021,Nan,Ba3,BB-,WD,BB-,6.25,1000000000,AT MATURITY,FIXED,97.87,Commercial Services,21.86281286,8,8,7,Yes,0.218628129,1,103000,103000,103000,1,0,1,1,1,0,103000,103000,103000,103000,1,1
