ATT1,ATT2,ATT3,ATT4,ATT5,ATT6,ATT7,ATT8,ATT9,ATT10,ATT11,ATT12,ATT13,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
0.038327,0.592379,0.655174,0.119839,0.652477,0.984323,0.206738,0.37465,0.46335,0.33361,0.443212,0.504136,0.998981,0.00632,18,2.31,0,0.538,6.575,65.2,4.09,1,296,15.3,396.9,4.98,24
0.225022,0.983103,0.803619,0.836315,0.163104,0.637497,0.00876,0.63119,0.207978,0.880357,0.707044,0.723372,0.509493,0.02731,0,7.07,0,0.469,6.421,78.9,4.9671,2,242,17.8,396.9,9.14,21.6
0.423233,0.375808,0.271293,0.729824,0.886744,0.043703,0.4577,0.86245,0.901924,0.062488,0.76382,0.4277,0.999183,0.02729,0,7.07,0,0.469,7.185,61.1,4.9671,2,242,17.8,392.83,4.03,34.7
0.74337,0.929103,0.589894,0.644012,0.11049,0.774604,0.306483,0.880599,0.630401,0.928894,0.196689,0.754646,0.157631,0.03237,0,2.18,0,0.458,6.998,45.8,6.0622,3,222,18.7,394.63,2.94,33.4
0.378623,0.786609,0.712752,0.110274,0.762133,0.030069,0.316631,0.667073,0.426443,0.400557,0.743762,0.365306,0.763755,0.06905,0,2.18,0,0.458,7.147,54.2,6.0622,3,222,18.7,396.9,5.33,36.2
0.512719,0.478676,0.131169,0.031796,0.444457,0.691521,0.719076,0.77795,0.288101,0.781355,0.966254,0.996523,0.239106,0.02985,0,2.18,0,0.458,6.43,58.7,6.0622,3,222,18.7,394.12,5.21,28.7
0.371941,0.857127,0.807076,0.388729,0.265246,0.032373,0.669785,0.074361,0.609141,0.178662,0.029633,0.708154,0.277778,0.08829,12.5,7.87,0,0.524,6.012,66.6,5.5605,5,311,15.2,395.6,12.43,22.9
0.691226,0.349011,0.228136,0.1676,0.594631,0.80989,0.514929,0.348981,0.053093,0.60619,0.681526,0.583743,0.369752,0.14455,12.5,7.87,0,0.524,6.172,96.1,5.9505,5,311,15.2,396.9,19.15,27.1
0.686431,0.224574,0.444599,0.707614,0.029798,0.658894,0.315918,0.81577,0.155579,0.453404,0.319708,0.549693,0.522259,0.21124,12.5,7.87,0,0.524,5.631,100,6.0821,5,311,15.2,386.63,29.93,16.5
0.74786,0.379863,0.107704,0.766033,0.208782,0.945102,0.027574,0.746923,0.636326,0.938539,0.093859,0.959682,0.81878,0.17004,12.5,7.87,0,0.524,6.004,85.9,6.5921,5,311,15.2,386.71,17.1,18.9
0.833772,0.255716,0.64057,0.716492,0.801783,0.461383,0.11964,0.510583,0.742931,0.05687,0.559841,0.367996,0.882235,0.22489,12.5,7.87,0,0.524,6.377,94.3,6.3467,5,311,15.2,392.52,20.45,15
0.06046,0.071766,0.229253,0.222621,0.645459,0.292982,0.885505,0.544344,0.701811,0.183051,0.347333,0.039794,0.249285,0.11747,12.5,7.87,0,0.524,6.009,82.9,6.2267,5,311,15.2,396.9,13.27,18.9
0.707927,0.466092,0.80332,0.082084,0.479606,0.961182,0.238113,0.453188,0.481088,0.065748,0.108823,0.893238,0.864376,0.09378,12.5,7.87,0,0.524,5.889,39,5.4509,5,311,15.2,390.5,15.71,21.7
0.349781,0.129969,0.891994,0.431965,0.129873,0.669616,0.517706,0.554398,0.916763,0.380352,0.172498,0.133272,0.478372,0.62976,0,8.14,0,0.538,5.949,61.8,4.7075,4,307,21,396.9,8.26,20.4
0.60272,0.552196,0.530531,0.912981,0.943693,0.934496,0.173391,0.165558,0.922308,0.996062,0.7365,0.819015,0.581983,0.63796,0,8.14,0,0.538,6.096,84.5,4.4619,4,307,21,380.02,10.26,18.2
0.413509,0.465612,0.668876,0.312331,0.88842,0.721769,0.721435,0.521094,0.967329,0.748228,0.740945,0.850344,0.53305,0.62739,0,8.14,0,0.538,5.834,56.5,4.4986,4,307,21,395.62,8.47,19.9
0.746436,0.693804,0.065947,0.519111,0.811278,0.529625,0.721356,0.528968,0.628985,0.711968,0.357314,0.930963,0.262171,1.05393,0,8.14,0,0.538,5.935,29.3,4.4986,4,307,21,386.85,6.58,23.1
0.96585,0.317363,0.491337,0.96981,0.676968,0.768814,0.099076,0.420145,0.876458,0.775617,0.500493,0.326165,0.00705,0.7842,0,8.14,0,0.538,5.99,81.7,4.2579,4,307,21,386.75,14.67,17.5
0.362094,0.137419,0.306951,0.608128,0.239067,0.472055,0.080653,0.538994,0.804852,0.849638,0.093962,0.565148,0.947068,0.80271,0,8.14,0,0.538,5.456,36.6,3.7965,4,307,21,288.99,11.69,20.2
0.338515,0.479592,0.860321,0.5197,0.720625,0.043435,0.279124,0.776811,0.195114,0.592368,0.163075,0.611757,0.486869,0.7258,0,8.14,0,0.538,5.727,69.5,3.7965,4,307,21,390.95,11.28,18.2
0.471673,0.767731,0.821168,0.516041,0.147554,0.443755,0.018396,0.959208,0.064669,0.11756,0.899597,0.616826,0.491836,1.25179,0,8.14,0,0.538,5.57,98.1,3.7979,4,307,21,376.57,21.02,13.6
0.196371,0.47554,0.572311,0.284694,0.061952,0.092116,0.426465,0.210285,0.839862,0.000263,0.747347,0.681773,0.962371,0.85204,0,8.14,0,0.538,5.965,89.2,4.0123,4,307,21,392.53,13.83,19.6
0.177861,0.129111,0.723056,0.180322,0.333478,0.822739,0.196066,0.262238,0.065847,0.344539,0.759286,0.203715,0.450383,1.23247,0,8.14,0,0.538,6.142,91.7,3.9769,4,307,21,396.9,18.72,15.2
0.519395,0.700989,0.024813,0.638686,0.433898,0.38764,0.005913,0.908114,0.078529,0.894197,0.568063,0.817914,0.817983,0.98843,0,8.14,0,0.538,5.813,100,4.0952,4,307,21,394.54,19.88,14.5
0.779971,0.917871,0.603767,0.791296,0.464866,0.05774,0.745025,0.953412,0.074619,0.879717,0.776514,0.755489,0.649751,0.75026,0,8.14,0,0.538,5.924,94.1,4.3996,4,307,21,394.33,16.3,15.6
0.982472,0.157395,0.074936,0.679149,0.225957,0.711561,0.133566,0.551488,0.480275,0.771374,0.315165,0.941741,0.862476,0.84054,0,8.14,0,0.538,5.599,85.7,4.4546,4,307,21,303.42,16.51,13.9
0.935838,0.98955,0.028426,0.592415,0.894678,0.57297,0.504816,0.197502,0.307974,0.41758,0.905521,0.268599,0.338278,0.67191,0,8.14,0,0.538,5.813,90.3,4.682,4,307,21,376.88,14.81,16.6
0.995798,0.619286,0.694989,0.197279,0.402235,0.044621,0.274203,0.191401,0.711115,0.161528,0.503797,0.036159,0.348096,0.95577,0,8.14,0,0.538,6.047,88.8,4.4534,4,307,21,306.38,17.28,14.8
0.344013,0.329367,0.058935,0.639848,0.271923,0.833682,0.008939,0.323954,0.135224,0.268788,0.876915,0.631565,0.813586,0.77299,0,8.14,0,0.538,6.495,94.4,4.4547,4,307,21,387.94,12.8,18.4
0.309244,0.845774,0.051735,0.900348,0.448348,0.792178,0.505182,0.126911,0.504696,0.670188,0.122538,0.959658,0.502627,1.00245,0,8.14,0,0.538,6.674,87.3,4.239,4,307,21,380.23,11.98,21
0.477601,0.983557,0.397653,0.213767,0.559913,0.614692,0.736533,0.117461,0.834243,0.059856,0.911311,0.404634,0.087459,1.13081,0,8.14,0,0.538,5.713,94.1,4.233,4,307,21,360.17,22.6,12.7
0.844607,0.863436,0.69551,0.86996,0.635867,0.185479,0.463744,0.075823,0.296906,0.608071,0.120555,0.66961,0.209932,1.35472,0,8.14,0,0.538,6.072,100,4.175,4,307,21,376.73,13.04,14.5
0.877347,0.755858,0.352414,0.567698,0.207071,0.395468,0.650505,0.162622,0.139092,0.86617,0.046386,0.194542,0.919905,1.38799,0,8.14,0,0.538,5.95,82,3.99,4,307,21,232.6,27.71,13.2
